Square Feet,Number of Bedrooms,Number of Bathrooms,Year Built,Neighborhood,Garage Spaces,Lot Size,City,Price
2126,2,2.507115459916286,2004,Urban,1,0.16628539114480773,Kansas City,213834460.61521775
2459,2,1.9836519820547756,2002,Suburban,0,0.10580449866823077,New York,246782796.39199525
1860,2,3.2113972418699173,1999,Rural,1,0.23558903979457044,Houston,187658799.99211308
2294,1,1.1101388304492,2021,Urban,1,0.4806159686685274,Kansas City,231966340.25562632
2130,4,2.424307018130954,1994,Rural,1,0.8221095990837577,Kansas City,217657371.0217786
2095,3,2.0089701828110007,1962,Rural,1,0.3536069469441028,Los Angeles,211893707.49843135
2724,3,3.761607655307664,1965,Rural,2,0.6631058911498827,Houston,276477650.02989745
2044,4,1.0360090818180476,1962,Suburban,0,0.47004097415977597,Kansas City,207332905.55193523
2638,2,2.6584446271550473,1969,Suburban,0,0.31089861276940717,New York,265923876.41088367
1121,3,3.221990743199878,2015,Rural,1,0.5628224028545727,Kansas City,115365761.32001285
1466,3,2.4550539625721237,1996,Suburban,2,0.8177180413353609,Houston,151197719.2538697
2238,4,1.256209090488165,1968,Rural,1,0.8492431330505298,Los Angeles,228635431.34703928
1330,3,3.9173841700837064,1994,Suburban,0,0.861867578689513,Kansas City,137898141.70620385
2482,2,2.554031294128294,1986,Suburban,0,0.40470203129948146,New York,250700062.50355703
1087,4,2.842558732957034,2003,Suburban,0,0.8141104582441777,Kansas City,113283744.19619267
2396,2,1.709829348122522,1955,Urban,1,0.29096060959801706,New York,241643040.24909928
2123,3,2.4504942553204114,1963,Suburban,1,0.764582591118595,Houston,216776700.02474198
1871,3,2.2874484758749656,1953,Urban,2,0.953545983645355,Los Angeles,192579288.5539174
2687,2,1.224687526005951,2004,Urban,2,0.11236945122186148,Houston,269588698.82055974
1130,1,1.3184810606424016,1983,Urban,0,0.4963275380609182,Kansas City,115830523.76985277
2685,3,3.5124175588563236,1976,Rural,0,0.6829938895726041,Kansas City,272563400.76477724
2332,1,1.7194598566197707,1956,Suburban,2,0.7315981934387977,Los Angeles,237411950.45644048
1769,3,1.5848748144958917,1952,Rural,0,0.25847898244228196,New York,178816260.52329862
1343,1,2.5147343537504177,1996,Urban,2,0.9749649477147335,Houston,139588429.81510496
2515,1,3.3062413940875386,1951,Suburban,1,0.6537388311738757,New York,255446662.26042593
2437,1,1.1858395557369636,1974,Rural,0,0.247906541105441,Kansas City,245323470.67220747
1805,2,2.7304237589147675,2009,Urban,0,0.11847026054126376,New York,181467133.08462495
1385,1,1.35763132852172,1973,Rural,2,0.8049377789107983,Houston,142966511.2441931
2215,1,1.1093831524768554,1964,Rural,1,0.1717342655009132,New York,222806875.06394035
1955,1,1.158231856486652,1963,Suburban,0,0.2269458289632129,Kansas City,197071596.53405258
1276,3,3.502492324625324,2003,Suburban,0,0.6173470241701215,Houston,131199422.0451975
2184,1,1.3539174508841847,1955,Rural,2,0.6431549531046578,New York,222147318.5743396
1459,3,1.1354540932368757,1967,Suburban,1,0.7181984067331586,New York,150026151.09065858
2337,1,2.313699661428737,1969,Suburban,2,0.45416261139725866,Houston,236504340.53159347
1021,1,3.5319804158260744,2011,Rural,1,0.7965088020701406,Kansas City,106477442.54153766
1252,2,1.7872251294679058,1989,Suburban,1,0.9769227396542998,Houston,130508655.58298159
1747,3,2.265137852577749,1988,Suburban,2,0.34398544877189474,Kansas City,176954812.5828028
1856,1,1.1197675976912538,2001,Urban,2,0.7327257548841513,New York,189547611.3442476
2584,3,2.3472355424046274,1981,Suburban,1,0.9356217871556411,Houston,263634151.60145855
1474,3,2.732839241911401,2022,Urban,2,0.7176580863553385,Kansas City,151388253.37492007
2082,4,2.712721161256434,1976,Rural,0,0.7129985487798336,Houston,212403446.8309934
1510,2,1.9972800765230954,2001,Urban,0,0.3013953121766859,New York,152866772.56662267
2705,2,1.9465995419894067,2012,Rural,0,0.5816171802877237,Houston,273709080.8670878
2499,2,1.3198708568097937,2012,Suburban,0,0.6062705592441221,New York,253185343.11048132
1699,4,2.100394961938805,1966,Suburban,0,0.7301166062103576,New York,174193112.6531972
1975,4,1.298484006618894,1998,Urban,2,0.9971393049065643,New York,202948082.82502925
2806,2,3.299787834136155,1972,Rural,1,0.13027944028938587,Kansas City,281873881.2890072
1189,4,3.8988228932445574,2021,Suburban,2,0.15870939514073817,Kansas City,120235958.69269703
1957,4,3.9102233700001205,1962,Urban,0,0.17015506248782689,Los Angeles,197349042.06518915
1686,4,3.5952132981261817,1972,Urban,0,0.7686812210400611,Kansas City,173168047.10255975
1957,2,2.8023764480188573,2006,Urban,2,0.22271841559968175,Los Angeles,197248770.31159982
1562,2,3.10259709173164,2011,Suburban,2,0.6602066870413107,Houston,159933728.21708643
2899,2,1.8556174080412422,2003,Rural,1,0.3922019901041126,New York,292220181.25612366
2590,4,2.892311260517862,1969,Suburban,0,0.5115879605896398,Kansas City,262244863.14748704
2267,2,2.3669486483196325,2001,Suburban,2,0.29409684383567253,New York,228598005.36780232
1831,4,2.4460520193307973,1972,Rural,1,0.8794959051740879,Los Angeles,188155933.42732024
2528,1,3.2733296811254737,1984,Urban,0,0.6275352917467237,Kansas City,256428176.18481803
2154,4,1.8457550667917548,2016,Suburban,0,0.9501069372240274,Kansas City,220523966.3161295
2508,3,1.9541188350835597,1983,Urban,0,0.6171366247338966,Kansas City,254382242.03630075
2842,2,3.77392537338591,1982,Urban,2,0.211517227537252,Kansas City,285885630.5406902
1646,2,1.1686728845529166,1995,Rural,0,0.25378339045462794,New York,166196567.4186146
1020,3,2.456902895240021,1994,Rural,0,0.9901665787310625,Kansas City,107430100.61079831
1840,4,3.7384024012235852,1968,Rural,1,0.753008677597781,Los Angeles,188540423.56808066
1166,1,2.8310890234544708,1964,Urban,2,0.1443508750261807,Kansas City,117919086.05188999
2297,3,2.6392212226363965,2015,Urban,1,0.7334029045311983,Los Angeles,233774956.11435372
1387,3,1.7492325376880657,1988,Suburban,2,0.47095574212865055,Los Angeles,141550971.15096986
1600,4,2.029826467193345,1967,Urban,0,0.3764875481408715,New York,162514674.72574386
1315,2,3.556145247414079,2019,Rural,1,0.23865471435748087,Kansas City,133099984.46534346
1013,4,2.6776543953053746,2008,Rural,2,0.855913559100909,Los Angeles,106095391.87515244
1241,3,2.5442265812703395,1981,Rural,2,0.15745724109019063,Kansas City,125478103.19904622
1776,3,1.2987391406200868,1970,Rural,0,0.36085191614167633,New York,179916665.0162549
2369,2,1.0480844693653695,1989,Urban,0,0.37574460444313396,New York,239127329.35741806
1564,2,3.8910555660611474,1976,Rural,1,0.24481475556715032,Kansas City,158270902.94529036
1897,2,2.130958501860525,1951,Suburban,1,0.5573663949581833,Los Angeles,193126653.86243048
2363,4,2.809639186298513,1988,Urban,2,0.11053236412980337,Houston,237478384.7596214
1091,2,1.239145219561855,2005,Rural,1,0.3708779638693682,Houston,111257325.71081398
2390,3,3.0493428571691394,1962,Suburban,0,0.9402664996297576,New York,244385033.2124365
1955,3,3.7977001261178827,2005,Rural,1,0.37947661240780517,Los Angeles,197942210.57149786
2478,1,2.726995758992259,2015,Urban,1,0.42441344839607653,Houston,250236591.9239048
2451,4,1.3783459671262317,2005,Urban,2,0.5258485434106644,Los Angeles,248162618.6645878
1508,1,2.74516458242043,1977,Suburban,0,0.6055240373663273,Kansas City,154313507.53051317
1775,3,3.299041639313957,2013,Urban,2,0.8278377803386696,New York,182126617.0246419
2966,1,2.219249609722056,2020,Suburban,0,0.2712891008404159,Kansas City,298187889.22493124
1034,3,3.6395132438244033,2013,Rural,0,0.8845717394733015,Kansas City,108295822.19065334
1205,1,2.9460488600720933,2005,Urban,2,0.7817944214295004,Kansas City,124809925.7716529
2104,2,3.6977467548676075,1990,Rural,1,0.7503853011953997,Los Angeles,214714257.51259208
2955,1,2.870515933742012,1990,Rural,2,0.1781241163431717,Houston,296860909.2767465
2585,2,1.3938639160144728,1953,Urban,1,0.11947662097712622,Kansas City,259671922.89858672
2895,2,1.9290751333155673,2006,Rural,2,0.6346114308172756,New York,293042737.78908503
2411,4,1.6053848447573706,1979,Suburban,2,0.876820566270845,Los Angeles,246064506.69471103
2025,2,3.726479493150587,1995,Suburban,1,0.6259973177265723,Houston,206169472.55061916
2021,2,3.2812002018624478,2005,Suburban,1,0.29191137890097774,Kansas City,204015646.90964454
2413,1,3.0291951067300182,1980,Urban,1,0.18146790815429192,New York,242719529.1737762
1565,3,1.902898958894865,1956,Rural,2,0.7296368075359615,Kansas City,160815901.45959693
2129,4,1.5521343161506405,2003,Rural,1,0.7495932495860286,Houston,217084376.32164145
2795,2,3.2693532639667353,1957,Rural,1,0.2552785306183978,Houston,281471594.1478895
2845,4,2.422473837637239,2004,Rural,1,0.12537128394688266,Kansas City,285623541.9575572
2500,1,1.6773686564518875,2018,Suburban,0,0.4674551619008773,Kansas City,252538078.45873827
1702,2,2.849865934495825,1993,Urban,1,0.62444683191972,Los Angeles,173805974.10468578
1401,1,1.121001556415356,1962,Suburban,1,0.735402168610472,Houston,144236085.9597835
1729,4,1.9785107623847606,1969,Suburban,1,0.8289505082376125,Houston,177683140.84836692
2579,1,2.405670983773404,1981,Urban,0,0.6494836845760591,Kansas City,261587843.7466633
1161,4,1.4438750023282174,2009,Urban,0,0.19979254773863653,New York,117477253.36386779
1201,1,3.9539634327725186,1999,Suburban,1,0.7143235049281733,Kansas City,124158164.78209881
2981,4,1.6272920937688427,1976,Rural,1,0.9857589786053939,Kansas City,303605841.8000596
1995,3,1.3910593901297967,1974,Urban,1,0.9150261261376634,Houston,204594460.08494803
1269,1,1.610604621660689,2001,Urban,1,0.8845020183425614,Los Angeles,131623305.43833736
2886,1,3.3071833994791726,2017,Suburban,0,0.37195313802250674,Kansas City,290787804.4450735
1815,3,2.2765169778155285,1970,Rural,1,0.7757093588086006,New York,185984285.56737918
2294,3,2.6962478192576143,1967,Urban,0,0.865993101368631,New York,234362184.09328747
1455,1,1.0630274709590823,1988,Suburban,2,0.7104935841681368,Kansas City,149397194.9811626
2485,3,1.1032939257199437,1964,Urban,0,0.3255055809111825,New York,250655274.94898492
2750,2,2.3374766494810486,2002,Rural,2,0.9584505746874625,New York,280212563.62214833
2275,4,3.4499657296048705,1987,Suburban,0,0.5057374703128084,Kansas City,230667434.78128442
2016,4,3.655716636122696,1997,Suburban,0,0.21682500279929146,New York,203288303.76170567
2725,4,1.2601197027869206,2001,Rural,0,0.19880010555165278,New York,273898509.50546724
1295,2,2.6150893063030685,2021,Suburban,1,0.6827670885691411,Kansas City,133239967.14081843
2748,3,3.7396890588378113,1977,Rural,0,0.4939386817750653,Houston,277930170.0882882
1719,3,2.163918263193659,1965,Suburban,1,0.18503548766106725,Los Angeles,173447471.30804488
2772,1,3.488697494285106,1965,Rural,0,0.7663281149404851,Los Angeles,281633292.8867738
1337,3,1.4010869631983085,1984,Urban,0,0.8193926505327577,Houston,138247044.77490366
1878,1,3.806183469003396,1966,Urban,2,0.7528740677078062,Kansas City,192224834.0987143
2076,2,3.254269952593908,2022,Urban,0,0.2820347899156116,Houston,209359244.1960226
1791,4,3.824003178360705,2001,Suburban,1,0.7207979103964625,Los Angeles,183320789.79035938
2945,4,3.0298517006575194,1961,Rural,2,0.1096505226049466,Los Angeles,295825491.490574
1216,4,2.090211795998281,1997,Rural,2,0.37460092571056836,Los Angeles,123999770.5132527
1763,3,3.814543517574167,1971,Urban,0,0.4589393782667893,Los Angeles,179290787.655152
1187,1,1.8267003289275354,1998,Urban,0,0.8517222539969513,Kansas City,123270613.79465431
1379,1,1.9965175661851977,2001,Urban,2,0.4513549357624639,Los Angeles,140506513.49627623
1492,2,3.102425254005221,1950,Rural,1,0.11014250157045846,Los Angeles,150468394.40190268
2064,3,3.295948898576159,2015,Urban,0,0.41711177064520844,Kansas City,208922755.02061924
2180,2,3.7882104515474615,2013,Suburban,2,0.5490316885233585,Houston,221219274.22648284
1014,1,1.6144072271686285,1957,Urban,1,0.9541043080054961,Kansas City,106691602.08206514
2836,1,3.393994105657672,1974,Urban,0,0.9469308734105903,Los Angeles,288884203.9249773
1064,4,3.21563816019089,2015,Rural,2,0.2627866343992704,New York,108235106.03401068
2880,3,1.1913836687607935,2022,Suburban,2,0.2666318875655064,Kansas City,289617513.21298456
2862,1,2.161669423630621,2022,Rural,0,0.24704331081809544,Kansas City,287652341.76086277
1520,4,1.8482963711802958,2019,Suburban,1,0.8100297391726929,Houston,156428770.92370197
2367,3,1.913471273062091,2000,Suburban,1,0.10541983633156574,Los Angeles,237655609.5271375
2152,2,3.9488406386641026,2002,Urban,2,0.2144594783726896,New York,216813460.43976325
1647,3,2.928332240439784,1964,Urban,1,0.5841636684796891,Kansas City,168305443.2604314
2495,3,3.1530284733804987,1999,Rural,2,0.322805860198089,Kansas City,251660506.43649396
2086,1,3.9298529119450274,2020,Rural,0,0.1831208124153359,Kansas City,209875343.03047258
2162,1,2.131605347372916,1987,Rural,1,0.4238902111004509,New York,218729321.45655525
2522,3,3.405520505358418,1989,Suburban,0,0.3467868445542203,Kansas City,254509348.260673
1592,1,2.303592889913486,2015,Rural,2,0.5599938758628561,Kansas City,162302738.84605777
1391,1,3.6086010154449393,1988,Suburban,0,0.9813102344471762,New York,144502196.24839425
2698,1,1.5419726239339095,1966,Suburban,1,0.2118741731334266,Kansas City,271330018.81246215
