Square Feet,Year Built,Garage Spaces,Lot Size,,City,Neighborhood,Number of Bedrooms,Number of Bathrooms,,Price
2126,2004,1,0.166285391,,Kansas City,Urban,2,2.50711546,,213834460.6
2459,2002,0,0.105804499,,New York,Suburban,2,1.983651982,,246782796.4
1860,1999,1,0.23558904,,Houston,Rural,2,3.211397242,,187658800
2294,2021,1,0.480615969,,Kansas City,Urban,1,1.11013883,,231966340.3
2130,1994,1,0.822109599,,Kansas City,Rural,4,2.424307018,,217657371
2095,1962,1,0.353606947,,Los Angeles,Rural,3,2.008970183,,211893707.5
2724,1965,2,0.663105891,,Houston,Rural,3,3.761607655,,276477650
2044,1962,0,0.470040974,,Kansas City,Suburban,4,1.036009082,,207332905.6
2638,1969,0,0.310898613,,New York,Suburban,2,2.658444627,,265923876.4
1121,2015,1,0.562822403,,Kansas City,Rural,3,3.221990743,,115365761.3
1466,1996,2,0.817718041,,Houston,Suburban,3,2.455053963,,151197719.3
2238,1968,1,0.849243133,,Los Angeles,Rural,4,1.25620909,,228635431.3
1330,1994,0,0.861867579,,Kansas City,Suburban,3,3.91738417,,137898141.7
2482,1986,0,0.404702031,,New York,Suburban,2,2.554031294,,250700062.5
1087,2003,0,0.814110458,,Kansas City,Suburban,4,2.842558733,,113283744.2
2396,1955,1,0.29096061,,New York,Urban,2,1.709829348,,241643040.2
2123,1963,1,0.764582591,,Houston,Suburban,3,2.450494255,,216776700
1871,1953,2,0.953545984,,Los Angeles,Urban,3,2.287448476,,192579288.6
2687,2004,2,0.112369451,,Houston,Urban,2,1.224687526,,269588698.8
1130,1983,0,0.496327538,,Kansas City,Urban,1,1.318481061,,115830523.8
2685,1976,0,0.68299389,,Kansas City,Rural,3,3.512417559,,272563400.8
2332,1956,2,0.731598193,,Los Angeles,Suburban,1,1.719459857,,237411950.5
1769,1952,0,0.258478982,,New York,Rural,3,1.584874814,,178816260.5
1343,1996,2,0.974964948,,Houston,Urban,1,2.514734354,,139588429.8
2515,1951,1,0.653738831,,New York,Suburban,1,3.306241394,,255446662.3
2437,1974,0,0.247906541,,Kansas City,Rural,1,1.185839556,,245323470.7
1805,2009,0,0.118470261,,New York,Urban,2,2.730423759,,181467133.1
1385,1973,2,0.804937779,,Houston,Rural,1,1.357631329,,142966511.2
2215,1964,1,0.171734266,,New York,Rural,1,1.109383152,,222806875.1
1955,1963,0,0.226945829,,Kansas City,Suburban,1,1.158231856,,197071596.5
1276,2003,0,0.617347024,,Houston,Suburban,3,3.502492325,,131199422
2184,1955,2,0.643154953,,New York,Rural,1,1.353917451,,222147318.6
1459,1967,1,0.718198407,,New York,Suburban,3,1.135454093,,150026151.1
2337,1969,2,0.454162611,,Houston,Suburban,1,2.313699661,,236504340.5
1021,2011,1,0.796508802,,Kansas City,Rural,1,3.531980416,,106477442.5
1252,1989,1,0.97692274,,Houston,Suburban,2,1.787225129,,130508655.6
1747,1988,2,0.343985449,,Kansas City,Suburban,3,2.265137853,,176954812.6
1856,2001,2,0.732725755,,New York,Urban,1,1.119767598,,189547611.3
2584,1981,1,0.935621787,,Houston,Suburban,3,2.347235542,,263634151.6
1474,2022,2,0.717658086,,Kansas City,Urban,3,2.732839242,,151388253.4
